,Actual,Prediction,Difference
159,13.36,14.34,-0.9780060195922857
160,13.4,14.45,-1.0509820938110348
161,13.44,14.56,-1.1227403259277349
162,13.48,14.66,-1.1796231460571285
163,13.52,14.74,-1.2238688278198246
164,13.52,14.82,-1.301823120117188
165,13.52,14.9,-1.379333000183106
166,13.52,14.97,-1.4484238433837895
167,13.56,15.02,-1.4599117660522456
168,13.6,15.06,-1.4592470169067386
169,13.72,15.08,-1.357614784240722
170,13.76,15.07,-1.3121530914306643
171,13.8,15.04,-1.243977737426757
172,13.84,15.0,-1.1624461746215822
173,13.96,14.96,-1.00333885192871
174,14.0,14.94,-0.9396963119506836
175,14.0,14.94,-0.9391355514526367
176,14.0,14.96,-0.9581193923950195
177,14.0,15.0,-0.9953546524047852
178,13.88,15.04,-1.163165206909179
179,13.92,15.08,-1.161913948059082
180,13.92,15.11,-1.1863823699951173
181,13.92,15.12,-1.197539405822754
182,13.92,15.11,-1.187311248779297
183,13.92,15.07,-1.1491766738891602
184,13.92,15.0,-1.0809450912475587
185,13.92,14.9,-0.9847107696533204
186,13.92,14.78,-0.859923439025879
187,13.92,14.62,-0.7025194931030274
188,13.96,14.44,-0.47727016448974524
189,14.0,14.24,-0.23839855194091797
190,14.04,14.04,-0.0006656265258797589
191,14.08,13.85,0.229862289428711
192,14.16,13.67,0.4908200836181642
193,14.2,13.5,0.7013484954833977
194,14.28,13.34,0.9410965728759759
195,14.36,13.18,1.1754020309448237
196,14.36,13.03,1.3291896438598627
197,14.36,12.87,1.4850877380371088
198,14.44,12.72,1.7233375930786128
199,14.52,12.56,1.9623961639404293
200,14.6,12.4,2.1997428894042965
201,14.6,12.25,2.3525701522827145
202,14.6,12.1,2.503783798217773
203,14.8,11.94,2.861834335327149
204,14.72,11.78,2.9422328186035163
205,14.72,11.62,3.0970027160644538
206,14.72,11.49,3.233463973999024
207,14.76,11.38,3.3816497421264646
208,14.84,11.3,3.5364969635009764
209,14.92,11.26,3.6576537322998046
210,15.0,11.25,3.7482681274414062
211,15.04,11.27,3.768036880493163
212,15.12,11.32,3.797865028381347
213,15.12,11.4,3.7209416580200187
214,15.04,11.5,3.542358436584472
215,15.04,11.61,3.4338484191894523
216,15.04,11.72,3.321303405761718
217,14.92,11.84,3.0825127792358398
218,14.84,11.97,2.868877258300781
219,14.72,12.11,2.6053940963745124
220,14.6,12.26,2.3408638000488278
221,14.52,12.4,2.1235861968994136
222,14.4,12.52,1.879587554931641
223,14.24,12.62,1.6178686523437502
224,14.12,12.7,1.4246321868896477
225,14.0,12.74,1.2564020156860352
226,13.92,12.77,1.152110023498535
227,13.84,12.76,1.0757301712036131
228,13.68,12.72,0.9607102203369138
229,13.64,12.65,0.9941612625122076
230,13.52,12.56,0.9628291320800777
231,13.4,12.48,0.9243377685546879
232,13.24,12.43,0.814607849121094
233,13.04,12.42,0.6177292251586906
234,12.84,12.47,0.36785968780517564
235,12.64,12.57,0.07330192565918026
236,12.48,12.69,-0.21239902496337848
237,12.24,12.83,-0.5895841217041013
238,12.0,12.97,-0.9667625427246094
239,11.92,13.1,-1.1773501205444337
240,11.76,13.22,-1.4636032485961916
241,11.64,13.34,-1.6979020690917963
242,11.6,13.44,-1.8380559921264652
243,11.56,13.52,-1.9643253707885737
244,11.52,13.59,-2.072425346374512
245,11.48,13.63,-2.1532883834838863
246,11.52,13.65,-2.1263928222656254
247,11.6,13.65,-2.0468133926391605
248,11.64,13.63,-1.9935420608520502
249,11.64,13.6,-1.9569142913818354
250,11.6,13.53,-1.9348777770996097
251,11.64,13.46,-1.8156369781494135
252,11.72,13.37,-1.6495478439331048
253,11.84,13.29,-1.4455701446533205
254,11.88,13.2,-1.324359054565429
255,11.96,13.12,-1.1586618804931632
256,12.04,13.03,-0.9873542404174813
257,12.12,12.92,-0.7955263900756844
258,12.16,12.77,-0.6107958221435545
259,12.2,12.59,-0.3934391021728523
260,12.28,12.38,-0.10492393493652408
261,12.32,12.16,0.16466266632080107
262,12.36,11.92,0.4430945968627924
263,12.36,11.68,0.6791900253295893
264,12.44,11.46,0.9842247390747065
265,12.48,11.25,1.2322640228271489
266,12.56,11.06,1.4999652481079107
267,12.68,10.88,1.796864204406738
268,12.8,10.72,2.0771673202514656
269,12.92,10.59,2.3325099182128906
270,13.0,10.48,2.5169525146484375
271,13.04,10.4,2.644691505432128
272,13.04,10.32,2.716217079162597
273,13.08,10.26,2.824828224182129
274,13.12,10.17,2.948859329223632
275,13.24,10.08,3.1600334548950197
276,13.24,9.98,3.259701957702637
277,13.24,9.89,3.3543712997436526
278,13.2,9.79,3.40596694946289
279,13.2,9.72,3.484011840820312
280,13.16,9.66,3.4978543853759767
281,13.16,9.63,3.5318194961547853
282,13.24,9.6,3.639984359741211
283,13.24,9.56,3.6755897903442385
284,13.2,9.53,3.6711103439331048
285,13.16,9.51,3.65470329284668
286,13.2,9.5,3.6971055984497063
287,13.28,9.53,3.7538321304321283
288,13.44,9.56,3.881161155700683
289,13.4,9.59,3.806941413879395
290,13.36,9.63,3.734578475952148
291,13.28,9.65,3.6251843261718744
292,13.04,9.67,3.369556465148925
293,12.8,9.67,3.1320751190185554
294,12.6,9.64,2.9635034561157223
295,12.4,9.58,2.820660972595215
296,12.24,9.5,2.735184898376465
297,12.12,9.43,2.6872540664672844
298,11.96,9.37,2.589751205444337
299,11.8,9.33,2.4655178070068366
300,11.6,9.32,2.2770505905151364
301,11.48,9.33,2.153507690429688
302,11.24,9.35,1.893759002685547
303,11.12,9.37,1.7458401870727531
304,11.04,9.41,1.6280575180053702
305,11.0,9.45,1.5533523559570312
306,10.8,9.48,1.3244894027709968
307,10.64,9.49,1.1456180953979498
308,10.48,9.5,0.9794878768920903
309,10.32,9.49,0.8322318267822268
310,10.28,9.45,0.827925949096679
311,10.08,9.4,0.6765270996093751
312,10.0,9.35,0.645512580871582
313,9.8,9.3,0.4955518722534187
314,9.76,9.25,0.5107772445678709
315,9.76,9.21,0.553220520019531
316,9.64,9.19,0.4546905899047857
317,9.6,9.2,0.40259513854980433
318,9.56,9.24,0.3197360610961919
319,9.6,9.31,0.28951416015624964
320,9.68,9.4,0.28219001770019503
321,9.72,9.49,0.22870418548584048
322,9.76,9.58,0.1833865737915037
323,9.68,9.65,0.026527099609374716
324,9.68,9.72,-0.03516799926757841
325,9.68,9.76,-0.07576210021972685
326,9.68,9.78,-0.10318023681640653
327,9.68,9.8,-0.12252647399902372
328,9.6,9.83,-0.22793903350830114
